Item,lockerName,deploymentDate,buildingType,zh_HK.region,zh_HK.district,zh_hk.street,zh_HK.streetNumber,zh_HK.building,zh_HK.floor,zh_HK.description,en.description,en.floor,en.building,en.streetNumber,en.street,en.district,en.region,clubhouse,nickname,kiosk,boxes,availability,accessible,certificateId:,csNumber,
56,711-0443,2/29/2017,便利店,新界,西貢,萬年街 ,118 號,,地下,7-11便利店,7-Eleven,G/F,,118,Man Nin Street,Sai Kung,New Territories,,Manny,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
57,711-0861,2/29/2017,便利店,新界,大埔,大明里,1- 27號,寶華樓,地下, 1 號部份 D 及 E 舖，7-11便利店,"7-Eleven, Shop D & E, No.1",G/F,Po Wah Building,1-27,Tai Ming Lane,Tai Po,New Territories,,Boa,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
58,711-0616,"February 28, 2017",便利店,新界,元朗,又新街 ,38 號,恒富大廈,地下 ,12 及 13 號舖位，7-11便利店,"7-Eleven, Shop 12 & 13",G/F,Hang Fu Building,38,Yau San Street,Yuen Long,New Territories,,Hamphil,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
59,711-1119,"February 28, 2017",便利店,新界,元朗,元朗安寧路,65-79 號,福安樓,地下 ,C 號舖位，7-11便利店,"7-Eleven, Shop C",G/F,Fook On Building,65- 79,Yuen Long On Ning Road,Yuen Long,New Territories,,Vivian,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
60,711-0148,"February 27, 2017",便利店,九龍,大角咀,福全街 ,25 號,宏福樓,地下,7-11便利店,7-Eleven,G/F,Wang Fuk House,25,Fuk Tsun Street,Tai Kok Tsui,Kowloon,,Humph,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
61,711-0688,2/29/2017,便利店,香港,香港仔,湖南街 ,11 號,,地下,7-11便利店,7-Eleven,G/F,,11,Wu Nam Street,Aberdeen,Hong Kong,,Woody,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
62,711-1187,"February 28, 2017",便利店,新界,屯門,景峰徑,2號,景峰花園,地下 ,G09 及 G10號舖位 ，7-11便利店,"7-Eleven, Shop G09 & G10",G/F,Prime View Garden,2,King Fung Path,Tuen Mun,New Territories,,Kera,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
63,711-0083,"February 27, 2017",便利店,九龍,慈雲山,芳華里, 1-11 號,毓華樓,地下 ,D 舖，7-11便利店,"7-Eleven, Shop D",G/F,Yuk Wah House,1- 11,Fong Wah Lane,Tsz Wan Shan,Kowloon,,,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
64,Residence88,"March 1, 2017",住宅,新界,元朗,鳳翔路,88號,譽88,,會所接待處則,Next to the reception centre in Club House,,Residence 88,88,Fung Cheung Road,Yuen Long,New Territories,,Barbie,,,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
65,ClagueGardenEstate,"March 1, 2017",住宅,新界,荃灣,海盛路,30號,祈德尊新邨,平台,平台,Podium,Podium,Clague Garden Estate,30,Hoi Shing Road,Tsuen Wan,New Territories,,Keda,,,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
